admin2,province,country,latitude,longitude,category,utc_20200122,utc_20200123,utc_20200124,utc_20200125,utc_20200126,utc_20200127,utc_20200128,utc_20200129,utc_20200130,utc_20200131,utc_20200201,utc_20200202,utc_20200203,utc_20200204,utc_20200205,utc_20200206,utc_20200207,utc_20200208,utc_20200209,utc_20200210,utc_20200211,utc_20200212,utc_20200213,utc_20200214,utc_20200215,utc_20200216,utc_20200217,utc_20200218,utc_20200219,utc_20200220,utc_20200221,utc_20200222,utc_20200223,utc_20200224,utc_20200225,utc_20200226,utc_20200227,utc_20200228,utc_20200229,utc_20200301,utc_20200302,utc_20200303,utc_20200304,utc_20200305,utc_20200306,utc_20200307,utc_20200308,utc_20200309,utc_20200310,utc_20200311,utc_20200312,utc_20200313,utc_20200314,utc_20200315,utc_20200316,utc_20200317,utc_20200318,utc_20200319,utc_20200320,utc_20200321,utc_20200322,utc_20200323,utc_20200324,utc_20200325,utc_20200326,utc_20200327,utc_20200328,utc_20200329,utc_20200330,utc_20200331,utc_20200401,utc_20200402,utc_20200403,utc_20200404
,New York,United States,42.1657,-74.9481,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,New York,United States,42.1657,-74.9481,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,13,16,34,42,60,117,158,210,285,385,527,728,965,1218,1550,1941,2373,3271,3271
,,Germany,51.1657,10.4515,confirmed,0,0,0,0,0,0,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,27,46,48,79,130,159,196,262,482,670,799,1040,1176,1457,1908,2078,3675,4585,5795,7272,9257,12327,15320,19848,22213,24873,29056,32986,37323,43938,50871,57695,62095,66885,71808,77872,84794,91159,91159
,,Germany,51.1657,10.4515,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,12,12,12,14,14,14,14,14,15,16,16,16,16,16,16,16,16,17,18,18,18,18,25,25,46,46,46,67,67,105,113,180,233,266,453,3243,3547,5673,6658,8481,9211,13500,16100,18700,22440,24575,24575
,,Germany,51.1657,10.4515,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,7,9,11,17,24,28,44,67,84,94,123,157,206,267,342,433,533,645,775,920,1107,1275,1275
,France,France,46.2276,2.2137,confirmed,0,0,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,14,18,38,57,100,130,191,204,285,377,653,949,1126,1209,1784,2281,2281,3661,4469,4499,6633,7652,9043,10871,12612,14282,16018,0,22304,25233,29155,32964,37575,40174,44550,52128,56989,59105,64338,82165
,France,France,46.2276,2.2137,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2200,0,3281,3900,4948,5700,5700,7202,7927,9444,10934,12428,14008,14008
,France,France,46.2276,2.2137,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,6,9,11,19,19,33,48,48,79,91,91,148,148,148,243,450,562,674,0,1100,1331,1696,1995,2314,2606,3024,3523,4032,5387,6507,6507
,Hubei,China,30.9756,112.2707,confirmed,444,444,549,761,1058,1423,3554,3554,4903,5806,7153,11177,13522,16678,19665,22112,24953,27100,29631,31728,33366,33366,48206,54406,56249,58182,59989,61682,62031,62442,62662,64084,64084,64287,64786,65187,65596,65914,66337,66907,67103,67217,67332,67466,67592,67666,67707,67743,67760,67773,67781,67786,67790,67794,67798,67799,67800,67800,67800,67800,67800,67800,67801,67801,67801,67801,67801,67801,67801,67801,67802,67802,67802,67803
,Hubei,China,30.9756,112.2707,recovered,28,28,31,32,42,45,80,88,90,141,168,295,386,522,633,817,1115,1439,1795,2222,2639,2686,3459,4774,5623,6639,7862,9128,10337,11788,11881,15299,15343,16748,18971,20969,23383,26403,28993,31536,33934,36208,38557,40592,42033,43500,45235,46488,47743,49134,50318,51553,52960,54288,55142,56003,56927,57682,58382,58946,59433,59882,60324,60811,61201,61732,62098,62570,62889,63153,63326,63471,63612,63762
